datesold,postcode,price,propertyType,bedrooms,datesold_year,month
2015-10-14,2914,13.380117029314137,house,4,2015,10
2015-10-14,2602,13.407542319637992,house,2,2015,10
2015-10-14,2602,13.437174117244362,house,3,2015,10
2015-10-14,2617,13.515755904278224,house,4,2015,10
2015-10-14,2912,13.554145793829866,house,5,2015,10
2015-10-14,2602,13.811616987848263,house,5,2015,10
2015-10-14,2617,14.006130917572923,house,5,2015,10
2015-10-15,2906,13.012548511397123,house,3,2015,10
2015-10-15,2902,13.049792684569493,house,3,2015,10
2015-10-15,2903,13.116345305078767,house,3,2015,10
2015-10-15,2615,13.180632285528304,house,4,2015,10
2015-10-15,2617,13.296316684527767,house,4,2015,10
2015-10-15,2905,13.407542319637992,house,4,2015,10
2015-10-15,2913,13.437174117244362,house,4,2015,10
2015-10-15,2913,13.499429010990795,house,4,2015,10
2015-10-15,2614,13.507625778194974,house,4,2015,10
2015-10-15,2913,13.581053246749791,house,3,2015,10
2015-10-15,2603,13.592367006650065,house,3,2015,10
2015-10-15,2913,13.5985975564007,house,5,2015,10
2015-10-15,2615,13.604789526648622,house,4,2015,10
2015-10-15,2607,13.9108207377686,house,4,2015,10
2015-10-15,2602,14.266586177324491,house,4,2015,10
2015-10-16,2606,12.724866438945341,house,2,2015,10
2015-10-16,2615,12.92391243868049,house,3,2015,10
2015-10-16,2615,13.060487973686241,house,3,2015,10
2015-10-16,2615,13.222208712374044,house,3,2015,10
2015-10-16,2904,13.253391639810733,house,3,2015,10
2015-10-16,2906,13.345506928718539,house,4,2015,10
2015-10-16,2607,13.393916067926225,house,4,2015,10
2015-10-16,2904,13.422467969854667,house,4,2015,10
2015-10-16,2914,13.480736877978643,house,4,2015,10
2015-10-16,2911,13.554145793829866,house,4,2015,10
2015-10-16,2902,13.567049198665774,house,5,2015,10
2015-10-16,2902,13.573438996764546,house,4,2015,10
2015-10-16,2602,13.64709190633931,house,4,2015,10
2015-10-17,2615,13.071070083016778,house,3,2015,10
2015-10-17,2905,13.393916067926225,house,4,2015,10
2015-10-17,2615,13.444446876573442,house,3,2015,10
2015-10-17,2913,13.458835614025542,house,4,2015,10
2015-10-17,2617,13.541073712262515,house,5,2015,10
2015-10-17,2913,13.591116224748411,house,5,2015,10
2015-10-17,2605,13.5985975564007,house,4,2015,10
2015-10-17,2614,13.60602333309755,house,4,2015,10
2015-10-17,2605,13.815510557964274,house,4,2015,10
2015-10-17,2607,13.955272500339433,house,4,2015,10
2015-10-17,2617,13.955272500339433,house,5,2015,10
2015-10-17,2603,14.0225247273486,house,4,2015,10
2015-10-17,2605,14.038654109278484,house,4,2015,10
2015-10-17,2600,14.077874822431765,house,3,2015,10
