,postcode,propertyType,bedrooms,datesold_year,month,price,lag1,lag2,lag3,lag6,lag12,lag24,lag36
7230,21,0,4,2007,12,13.329377546788654,13.019222618484816,13.028052697933088,13.049792684569493,13.22776252201437,13.219575603988028,13.19849010122038,13.18728418253295
7511,22,0,3,2007,12,12.86617997201192,12.774223335915432,12.6132030329574,12.72486643894534,12.644327576461327,12.925453058723255,12.910904916517202,12.897717760052055
7650,22,0,4,2007,12,13.244581010128577,13.296316684527769,13.081541382884074,13.28702378200423,13.284049639660493,13.277252968185289,13.26084450089276,13.246513279325166
8495,25,0,4,2007,12,12.89921982609012,13.617059619240436,13.235692062711331,13.377844653565536,13.374337063590376,13.36642757308034,13.344567282946443,13.32112862605652
257,0,1,1,2008,1,12.66032791780777,12.933636330264694,12.931794023857945,12.929185337566807,12.92301222428586,12.92187628759498,12.917332662676989,12.894507391316294
392,1,0,1,2008,1,12.84792653170257,12.933400842865893,12.916662027016871,12.84792653170257,13.227322350426837,13.221756930054593,13.216973045246451,13.198091075432924
648,2,0,3,2008,1,13.01477816672439,13.172105469299142,13.345506928718537,13.132313708257495,13.27401092701347,13.41229111096672,13.387364192885439,13.36331055968262
785,2,0,4,2008,1,13.253391639810733,13.128345449081877,13.710150042306449,13.639213686817543,13.633127711610381,13.617787052715615,13.588242095434461,13.559085672678526
2146,5,0,2,2008,1,12.942039823273047,13.163787124418066,13.140398811738452,13.101612412926876,13.093382854831413,13.032201600338688,13.216973045246451,13.198091075432924
3933,10,0,4,2008,1,13.849911984681606,13.91535589293399,13.732128949025222,13.652991628466498,13.904881339424529,13.877882616152727,13.825972904938924,13.770330497747583
4962,12,0,4,2008,1,13.09190416991962,13.033532163697712,13.155798153490569,13.202989116917546,13.19967388619622,13.189469350903481,13.167924957058393,13.150579692262612
6244,18,0,4,2008,1,13.304684934198283,13.31710745419684,13.0080742310022,12.948009990259552,13.278102393922223,13.270486104494317,13.251051376069034,13.227314737317021
7231,21,0,4,2008,1,13.005829561148378,13.329377546788654,13.019222618484816,13.028052697933088,13.22776252201437,13.219575603988028,13.19849010122038,13.18728418253295
7484,22,0,2,2008,1,12.641096555879882,12.691580461311874,12.765639194135678,12.764148624024148,12.744915009842051,12.710897920264172,13.216973045246451,13.198091075432924
7651,22,0,4,2008,1,13.262125319779487,13.244581010128577,13.296316684527769,13.081541382884074,13.284049639660493,13.277252968185289,13.26084450089276,13.246513279325166
8496,25,0,4,2008,1,13.044401835934616,12.89921982609012,13.617059619240436,13.235692062711331,13.374337063590376,13.36642757308034,13.344567282946443,13.32112862605652
567,2,0,2,2008,2,13.151922179645874,12.464583340681674,13.116345305078768,13.251552846811068,13.250399054022969,13.2209922268662,13.219547668846007,13.204087297118516
649,2,0,3,2008,2,13.292106151991424,13.01477816672439,13.172105469299142,13.345506928718537,13.314841514407656,13.41229111096672,13.387364192885439,13.36331055968262
2381,5,0,5,2008,2,13.60602333309755,13.80008417962642,13.794017395700138,13.790772858420459,13.77164061064278,13.75571776688456,13.621881415238617,13.492585821987204
3649,9,0,5,2008,2,13.357435499583813,13.304684934198283,13.608127678700622,13.604415025897245,13.599729255896749,13.595616820454628,13.52605398667633,13.496099748531973
